wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
8,5,0,6,26,0,1,5,5,0.571428571,167,1.0,0,0.823529412,0.375,2,5,19.5,4,1.125,0
36,3,11,35,84,0,11,24,35,0.485714286,302,1.0,1,0.513888889,0.0875,2,2,7.333333333,6,1.1944,0
27,3,1,18,87,217,1,17,20,0.870445344,919,1.0,2,0.587301587,0.212962963,2,2,32.33333333,13,1.7037,0
5,1,0,1,6,0,1,0,5,0.5,30,1.0,0,0.0,0.7,0,0,4.6,1,0.8,0
2,6,0,4,4,1,0,4,1,2.0,11,0.0,0,0.987179487,0.666666667,0,0,4.5,1,0.5,0
3,1,0,0,7,0,0,0,3,0.0,19,1.0,0,0.0,0.666666667,0,0,5.0,1,0.6667,0
10,3,0,2,20,21,0,2,9,0.6,130,1.0,0,0.804347826,0.4,1,1,11.5,1,0.9,0
4,1,0,3,23,4,1,2,1,0.333333333,174,1.0,0,0.0,0.583333333,0,0,42.0,3,1.25,0
3,2,0,5,12,3,1,4,1,2.0,40,0.0,0,0.857142857,0.666666667,0,0,12.33333333,1,0.6667,0
5,1,1,28,11,4,26,2,5,0.25,54,1.0,0,0.0,0.533333333,0,0,9.6,1,0.6,0
17,5,0,15,57,22,0,15,15,0.583333333,298,1.0,1,0.869918699,0.264705882,4,7,16.35294118,4,1.2353,0
6,1,0,14,24,15,14,0,5,1.0,116,0.0,0,0.0,0.3,0,0,18.16666667,2,1.0,0
9,3,0,4,41,14,0,4,8,0.791666667,334,1.0,0,0.822222222,0.355555556,1,1,35.44444444,11,2.0,1
6,3,0,7,24,9,4,4,5,0.8,231,0.5,0,0.880952381,0.266666667,1,1,37.16666667,1,0.8333,1
7,5,0,5,22,0,1,4,5,0.555555556,150,1.0,0,0.848484848,0.476190476,2,5,20.0,4,1.1429,0
2,2,0,7,13,1,1,6,2,2.0,66,1.0,0,0.958333333,1.0,0,0,31.5,1,0.5,0
7,5,0,5,18,0,1,4,5,0.555555556,113,1.0,0,0.848484848,0.476190476,2,4,14.71428571,4,1.1429,0
19,1,8,23,92,81,8,15,4,0.712560386,899,1.0,9,0.0,0.23015873,0,0,45.10526316,30,4.2632,1
4,2,0,4,16,0,0,4,4,0.333333333,59,1.0,0,0.842105263,0.875,1,1,13.5,5,1.75,0
29,1,0,5,66,348,2,3,12,0.810714286,567,0.9,2,0.0,0.317241379,0,0,18.20689655,11,1.3793,0
4,4,9,12,7,4,9,3,3,0.666666667,22,1.0,1,0.928571429,0.5,0,0,4.25,1,0.5,0
1,1,0,2,1,0,2,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
16,1,3,13,38,80,6,7,12,0.876190476,334,0.857142857,0,0.0,0.285714286,0,0,19.4375,8,1.6875,0
16,3,0,3,38,84,1,2,16,0.674074074,541,1.0,2,0.580645161,0.25,2,8,32.25,1,0.8125,0
1,1,0,18,1,0,17,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
2,4,0,4,4,0,1,3,1,0.0,16,1.0,1,0.9375,0.666666667,1,1,6.5,1,0.5,0
5,1,0,3,9,0,1,2,5,0.666666667,64,1.0,0,0.0,0.533333333,0,0,11.2,1,0.8,0
9,2,0,12,50,24,8,6,2,0.85,288,1.0,1,0.68,0.296296296,1,1,30.44444444,2,1.0,0
7,6,0,9,32,13,0,9,4,0.75,150,1.0,0,0.9625,0.4,4,9,20.14285714,2,1.0,1
2,6,0,4,4,1,0,4,1,2.0,11,0.0,0,0.987179487,0.666666667,0,0,4.5,1,0.5,0
7,5,0,5,18,0,1,4,5,0.708333333,126,1.0,0,0.848484848,0.476190476,2,5,16.42857143,5,1.2857,0
11,1,0,4,34,0,3,1,1,0.785714286,312,1.0,0,0.0,0.85,0,0,26.09090909,3,1.7273,0
6,1,0,7,6,15,6,1,6,1.2,10,0.0,0,0.0,0.722222222,0,0,0.0,1,1.0,0
10,3,4,16,21,23,14,2,5,0.666666667,149,1.0,1,0.692307692,0.228571429,1,2,13.7,1,0.8,0
17,4,0,7,81,40,4,3,10,0.823863636,1178,0.909090909,8,0.516129032,0.25,2,4,67.0,2,1.0,0
10,1,0,3,13,31,1,2,10,0.703703704,76,1.0,1,0.0,0.375,0,0,6.3,2,1.1,0
13,3,0,12,43,36,3,10,7,0.638888889,424,1.0,0,0.755102041,0.320512821,1,6,31.38461538,4,1.8462,0
9,2,0,5,20,0,3,2,9,0.5,141,1.0,0,0.6,0.416666667,0,0,14.22222222,1,0.6667,1
6,3,0,3,30,0,0,3,5,0.6,1262,1.0,0,0.880952381,0.555555556,1,1,208.6666667,2,1.0,0
5,1,10,98,7,0,98,1,5,0.0,33,1.0,1,0.0,0.45,0,0,5.4,2,1.0,0
2,4,0,4,12,1,0,4,1,2.0,55,0.0,0,0.980392157,1.0,1,2,26.5,4,2.0,0
18,2,5,18,23,0,5,16,16,0.0,110,1.0,0,0.346153846,0.114583333,0,0,5.055555556,1,0.9444,0
12,5,0,6,37,0,1,5,7,0.696969697,308,1.0,0,0.736842105,0.3,2,5,24.16666667,7,1.3333,0
5,1,0,4,20,0,0,4,4,0.333333333,144,1.0,1,0.0,0.9,0,0,27.2,5,2.2,0
23,3,1,14,73,151,1,13,23,0.921717172,668,0.777777778,2,0.627118644,0.207729469,3,3,27.26086957,26,2.3913,1
3,2,0,6,38,3,1,5,1,2.0,198,0.0,0,0.9,0.555555556,1,1,65.0,6,2.3333,0
14,4,0,193,26,0,192,1,14,0.384615385,153,1.0,1,0.65,0.333333333,1,2,9.785714286,2,0.6429,0
5,2,0,11,24,10,1,10,4,1.0,133,0.0,0,0.764705882,0.5,0,0,25.4,1,0.8,0
33,2,0,6,43,322,3,4,6,0.859375,4244,0.761904762,1,0.138888889,0.257575758,1,1,126.3333333,32,5.6061,0
7,1,0,1,20,19,1,0,4,1.037037037,197,0.666666667,0,0.0,0.266666667,0,0,25.85714286,4,1.1429,0
2,3,0,3,8,1,1,3,2,2.0,33,0.0,0,0.96969697,1.0,0,0,15.5,1,0.5,0
19,1,0,19,19,171,3,16,19,2.0,19,0.0,0,0.0,0.108359133,0,0,0.0,1,1.0,0
8,3,0,4,17,18,0,4,6,0.714285714,112,1.0,0,0.840909091,0.75,0,0,12.625,4,1.75,0
6,3,0,5,22,1,0,5,6,0.7,137,1.0,0,0.880952381,0.416666667,3,3,21.16666667,1,0.8333,0
91,1,0,157,212,3687,148,17,77,0.97047619,2452,0.6,4,0.0,0.105494505,0,0,25.56043956,6,1.4945,0
16,1,0,6,36,58,1,5,13,0.633333333,363,1.0,0,0.0,0.2421875,0,0,21.3125,5,1.75,0
72,4,0,27,116,2338,11,18,65,0.96400626,900,1.0,6,0.523489933,0.206349206,1,1,11.125,8,1.4722,0
11,4,0,17,83,11,0,17,9,0.916666667,671,0.25,2,0.886363636,0.25,2,2,58.90909091,2,1.0,1
3,1,0,1,3,3,1,0,3,1.5,4,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0,0
7,1,0,3,11,3,3,0,7,0.583333333,53,1.0,0,0.0,0.714285714,0,0,6.285714286,2,0.8571,0
1,1,0,3,1,0,3,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
3,2,0,8,22,3,1,7,2,1.0,152,0.0,0,0.866666667,0.5,0,0,48.66666667,1,0.6667,0
6,2,0,3,11,13,2,1,6,0.8,68,1.0,0,0.924242424,0.444444444,1,5,10.16666667,3,1.5,0
7,5,0,8,26,0,4,4,7,0.666666667,261,0.0,0,0.863636364,0.342857143,2,5,35.71428571,8,3.0,0
21,3,0,12,62,134,7,6,15,0.6,630,1.0,0,0.6,0.272108844,1,1,28.80952381,9,3.0,0
4,1,0,13,23,6,1,12,1,2.0,195,0.0,0,0.0,0.333333333,0,0,47.75,1,0.75,0
31,3,0,20,103,209,0,20,25,0.82,673,1.0,2,0.552238806,0.161290323,1,3,20.38709677,2,1.0323,1
3,1,0,11,24,1,7,4,3,0.0,264,1.0,2,0.0,0.666666667,0,0,86.33333333,13,5.0,0
8,1,26,46,14,20,45,1,7,0.714285714,87,1.0,0,0.0,0.6875,0,0,9.625,5,1.5,0
4,3,0,5,9,2,0,5,4,0.666666667,48,1.0,0,0.925,0.5,0,0,10.5,1,0.75,0
8,1,0,4,39,22,1,3,6,0.785714286,377,0.5,0,0.0,0.166666667,0,0,45.875,3,1.25,0
23,4,4,19,40,223,6,19,23,0.045454545,179,1.0,0,0.614035088,0.09382151,0,0,6.739130435,4,1.2609,0
42,2,0,20,115,703,14,8,25,0.881899872,1369,0.684210526,1,0.478873239,0.176829268,1,5,31.14285714,12,1.9286,0
8,3,0,10,37,0,0,10,6,0.628571429,315,1.0,1,0.840909091,0.325,0,0,37.75,1,0.875,0
4,3,0,3,17,4,0,3,3,0.666666667,152,1.0,0,0.925,0.75,1,1,36.75,1,0.75,0
8,5,0,10,28,0,4,6,8,0.693877551,365,0.571428571,0,0.844444444,0.25,1,4,43.75,19,5.375,0
11,1,0,12,32,27,9,4,9,0.683333333,190,1.0,0,0.0,0.232323232,0,0,15.72727273,1,0.9091,0
10,3,0,7,61,37,0,7,3,0.9,758,0.6,0,0.804347826,0.285714286,0,0,73.8,7,2.1,0
6,1,0,3,14,5,2,1,4,0.8,131,0.5,0,0.0,0.2,0,0,20.16666667,3,1.3333,0
10,3,0,6,42,21,1,6,7,0.793650794,369,1.0,0,0.804347826,0.45,0,0,35.2,2,1.1,0
10,3,2,7,24,29,2,5,6,0.555555556,162,1.0,0,0.804347826,0.5,0,0,15.0,4,1.2,0
19,3,0,11,61,121,7,5,15,0.75,503,0.5,0,0.638297872,0.294736842,2,2,25.15789474,5,2.0,0
3,4,0,7,8,3,3,4,2,2.0,27,0.0,0,0.988636364,0.666666667,3,4,8.0,2,0.6667,0
34,4,1,25,138,421,3,22,17,0.863636364,1740,1.0,0,0.709090909,0.142045455,4,4,49.64705882,4,1.1471,1
10,3,0,9,31,15,2,7,10,0.666666667,166,1.0,1,0.769230769,0.3,1,1,15.3,3,1.4,0
4,3,0,6,22,0,1,6,4,0.166666667,142,1.0,0,0.925,0.625,0,0,34.0,2,1.0,0
0,1,0,1,0,0,1,0,0,2.0,24,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
0,1,0,1,0,0,1,0,0,2.0,7,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
5,4,0,3,20,4,1,2,4,0.833333333,168,0.666666667,0,0.896551724,0.466666667,2,4,32.0,1,0.6,0
27,3,1,19,80,249,4,15,18,0.869230769,607,1.0,2,0.587301587,0.166666667,0,0,20.92592593,3,1.1481,1
1,3,0,5,2,0,5,0,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,0
6,1,0,3,11,1,1,2,6,0.7,74,1.0,0,0.0,0.555555556,0,0,10.66666667,1,0.8333,0
7,3,0,6,17,1,0,6,7,0.7,138,1.0,0,0.842105263,0.428571429,0,0,18.0,1,0.8571,0
5,4,0,1,9,10,1,0,3,0.75,81,0.0,0,0.924528302,0.44,2,2,15.0,5,2.0,0
26,4,0,18,89,219,1,18,18,0.896842105,881,1.0,4,0.757281553,0.221153846,3,4,32.15384615,3,1.1538,1
17,1,0,7,71,14,2,5,16,0.866071429,569,0.285714286,1,0.0,0.163398693,1,1,31.64705882,8,1.5294,0
7,4,0,13,25,0,4,9,7,0.458333333,201,1.0,2,0.853658537,0.392857143,1,3,27.14285714,4,2.1429,0
8,1,0,2,21,26,1,1,5,0.714285714,89,1.0,0,0.0,0.142857143,0,0,10.0,2,0.875,0
32,1,0,6,69,264,4,2,31,0.733333333,771,1.0,0,0.0,0.180555556,1,1,22.625,4,1.1563,0
11,5,0,13,30,5,4,9,9,0.65,168,1.0,0,0.91,0.327272727,2,10,13.90909091,3,1.2727,1
12,1,0,3,47,60,1,3,5,0.818181818,466,0.0,0,0.0,0.15,0,0,37.58333333,4,1.8333,0
19,3,0,16,117,35,1,15,11,0.823232323,849,0.909090909,1,0.672727273,0.305263158,2,3,43.10526316,12,2.2105,1
12,1,0,3,22,44,1,2,5,0.805194805,156,1.0,1,0.0,0.261904762,0,0,11.41666667,4,1.25,0
2,2,0,6,9,1,1,5,2,2.0,33,0.0,0,0.958333333,1.0,0,0,15.5,1,0.5,0
6,3,0,6,16,5,0,6,5,0.733333333,95,1.0,0,0.880952381,0.5,0,0,14.33333333,1,0.8333,0
3,2,0,4,7,0,1,3,3,0.0,29,1.0,0,0.818181818,0.666666667,0,0,8.333333333,1,0.6667,0
9,3,0,9,34,10,0,9,7,0.729166667,214,1.0,0,0.840909091,0.3125,1,1,22.11111111,6,1.4444,0
7,1,0,2,8,0,2,0,1,0.5,1082,0.0,0,0.0,0.666666667,0,0,153.2857143,2,0.8571,0
18,4,0,13,90,87,1,13,14,0.849264706,778,1.0,0,0.782051282,0.188888889,4,4,41.33333333,1,0.9444,1
8,1,0,8,22,0,5,3,7,0.542857143,141,1.0,1,0.0,0.34375,0,0,16.0,5,1.625,0
3,2,0,5,7,1,1,4,3,0.5,29,1.0,0,0.818181818,0.666666667,0,0,8.333333333,1,0.6667,0
28,1,0,31,57,266,29,4,24,0.641975309,602,1.0,0,0.0,0.197530864,0,0,20.39285714,16,2.25,0
3,6,0,6,11,3,4,3,3,2.0,37,0.0,0,0.96969697,1.0,2,3,11.33333333,2,1.3333,0
21,3,0,10,82,184,1,9,10,0.683333333,719,1.0,2,0.6,0.226190476,1,3,33.0952381,4,1.9048,1
8,5,0,9,29,0,1,8,5,0.571428571,179,1.0,0,0.823529412,0.375,2,5,21.0,4,1.125,0
2,2,0,9,9,1,5,4,2,2.0,31,0.0,0,0.923076923,0.666666667,0,0,14.5,1,0.5,0
8,1,0,1,14,28,1,0,8,2.0,274,0.0,0,0.0,0.45,0,0,33.25,7,2.75,0
19,1,0,12,103,133,1,12,3,0.81372549,1720,0.882352941,0,0.0,0.141414141,0,0,88.63157895,11,2.5263,1
1,1,0,5,1,0,3,2,1,2.0,3,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
8,1,0,3,18,10,2,1,8,0.535714286,108,1.0,0,0.0,0.541666667,0,0,12.0,3,1.25,0
3,3,0,3,14,1,0,3,3,0.5,82,1.0,0,0.948717949,0.666666667,1,1,26.0,1,0.6667,0
9,6,0,10,24,36,4,7,8,2.0,104,0.0,0,0.888888889,0.407407407,3,8,10.55555556,2,1.6667,0
3,1,0,19,3,3,19,0,3,2.0,3,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
10,3,0,11,36,0,0,11,10,0.694444444,236,1.0,1,0.804347826,0.45,1,1,22.2,2,1.4,0
5,3,0,5,13,4,0,5,5,0.75,71,1.0,0,0.902439024,0.533333333,0,0,12.6,1,0.8,0
4,1,0,1,10,2,1,0,4,0.866666667,93,1.0,0,0.0,0.5,0,0,21.0,5,1.75,0
6,3,0,8,21,1,1,7,5,0.8,95,0.666666667,2,0.882352941,0.6,0,0,14.33333333,3,1.3333,0
81,3,0,35,213,2518,7,35,74,0.94,2199,0.966666667,10,0.318965517,0.1375,3,3,25.77777778,13,1.6543,1
1,4,0,2,2,0,1,1,1,2.0,4,0.0,0,1.0,1.0,0,0,3.0,0,0.0,0
6,1,0,5,6,15,4,1,6,2.0,6,0.0,0,0.0,0.444444444,0,0,0.0,1,1.0,0
3,3,2,6,6,1,5,1,3,0.5,25,1.0,0,0.882352941,0.833333333,1,1,7.0,3,1.3333,0
3,5,1,6,14,3,5,2,3,2.0,52,0.0,0,0.96875,0.555555556,1,1,16.33333333,3,1.6667,0
5,3,0,4,17,0,0,4,5,0.666666667,99,1.0,0,0.902439024,0.533333333,1,1,18.2,1,0.8,0
8,3,0,2,39,10,0,2,8,0.714285714,282,1.0,0,0.840909091,0.325,1,1,33.75,4,1.25,0
4,1,0,4,13,0,1,3,4,0.666666667,60,1.0,1,0.0,0.75,0,0,13.25,1,0.75,0
4,4,0,4,13,0,1,3,4,0.0,87,1.0,0,0.928571429,0.75,2,4,20.5,1,0.5,0
34,1,1,33,67,437,27,6,21,0.752525253,1171,1.0,2,0.0,0.257575758,0,0,32.91176471,23,2.5,0
5,2,0,1,20,0,1,0,4,0.75,106,0.333333333,0,0.921568627,0.466666667,0,0,19.6,2,1.0,1
7,4,0,13,25,0,4,9,7,0.458333333,199,1.0,2,0.853658537,0.392857143,1,3,26.85714286,5,2.5714,0
5,1,0,6,13,0,5,1,5,0.0,69,1.0,0,0.0,0.533333333,0,0,12.6,3,1.2,0
14,3,0,8,33,65,0,8,14,0.91025641,404,1.0,1,0.74,0.595238095,1,2,27.0,2,1.0,0
3,1,0,3,19,0,0,3,2,0.75,104,0.5,0,0.0,0.666666667,0,0,33.0,1,0.6667,0
3,5,0,5,14,3,4,2,3,2.0,52,0.0,0,0.96875,0.555555556,1,1,16.33333333,3,1.6667,0
9,1,0,14,38,12,3,12,8,0.857142857,310,0.142857143,1,0.0,0.259259259,0,0,32.66666667,1,0.8889,0
13,1,2,9,20,46,7,2,8,0.666666667,111,1.0,0,0.0,0.615384615,0,0,7.230769231,1,0.7692,1
15,4,0,11,72,39,1,10,12,0.714285714,683,1.0,0,0.847826087,0.277777778,0,0,43.73333333,1,0.9333,0
22,1,0,19,49,125,16,5,18,0.80952381,382,1.0,1,0.0,0.309090909,0,0,16.04545455,8,1.7273,0
16,3,0,22,29,0,4,18,16,0.0,135,1.0,0,0.666666667,0.125,1,1,7.375,1,0.9375,0
4,1,0,4,5,6,3,1,4,2.0,16,0.0,0,0.0,0.875,0,0,3.0,1,0.75,0
11,5,0,11,38,1,4,7,11,0.84,391,0.5,0,0.791666667,0.215909091,1,4,33.63636364,8,2.7273,0
10,1,0,10,47,11,1,9,10,0.75,329,1.0,3,0.0,0.2125,0,0,31.1,6,1.5,1
6,2,0,1,15,0,1,0,6,0.0,45,1.0,0,0.642857143,0.444444444,1,1,6.333333333,1,0.8333,0
23,2,52,117,37,179,114,7,17,0.818181818,255,1.0,4,0.290322581,0.246376812,1,3,9.739130435,4,1.1739,0
2,2,0,9,26,1,1,8,2,2.0,248,0.0,0,0.958333333,1.0,1,1,123.0,1,0.5,0
6,3,0,5,34,0,0,5,3,0.866666667,237,1.0,0,0.880952381,0.444444444,0,0,38.0,1,0.8333,0
4,2,0,10,26,6,1,9,2,1.0,195,0.0,0,0.884615385,0.5,0,0,47.5,10,3.0,0
3,2,0,1,18,0,0,1,1,1.242424242,274,1.0,0,0.888888889,0.5,1,3,79.33333333,12,5.6667,0
2,2,0,1,6,1,0,1,1,2.0,20,0.0,0,0.875,0.75,1,1,9.0,1,0.5,0
7,5,0,9,28,0,4,5,7,0.708333333,215,0.5,0,0.863636364,0.342857143,1,4,29.14285714,9,2.8571,0
16,1,3,15,56,86,4,12,6,0.8,375,1.0,2,0.0,0.226666667,0,0,22.25,14,2.0625,0
7,1,0,20,8,3,20,0,7,0.666666667,43,1.0,0,0.0,0.714285714,0,0,4.714285714,1,0.8571,0
24,1,0,25,78,218,16,21,17,0.914782609,1203,0.36,0,0.0,0.322981366,0,0,48.08333333,17,1.9167,0
3,2,0,8,20,3,1,7,2,1.0,151,0.0,0,0.92,0.5,0,0,48.33333333,1,0.6667,0
3,4,2,30,8,3,26,4,2,2.0,27,0.0,0,0.988636364,0.666666667,3,4,8.0,2,0.6667,0
3,2,0,3,8,0,2,1,3,0.0,32,1.0,0,0.75,0.555555556,0,0,9.333333333,1,0.6667,0
3,2,0,4,7,0,1,3,3,0.0,33,1.0,0,0.818181818,0.666666667,0,0,9.666666667,1,0.6667,0
4,5,0,5,15,0,4,2,4,0.333333333,83,1.0,0,0.953846154,0.4375,1,1,19.5,5,2.0,0
8,2,0,4,25,14,1,3,4,0.571428571,163,1.0,1,0.416666667,0.3,1,1,18.875,2,1.0,0
4,2,0,6,12,6,1,5,3,2.0,71,0.0,0,0.625,0.5,0,0,16.75,1,0.75,0
7,1,0,6,8,0,6,0,7,0.0,89,1.0,0,0.0,0.428571429,1,1,11.57142857,4,1.0,0
7,1,0,9,7,21,8,1,7,2.0,7,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
8,3,2,5,21,18,2,3,4,0.714285714,145,1.0,0,0.840909091,0.4375,1,1,16.875,1,0.875,0
11,3,0,14,40,17,5,9,10,0.7,286,1.0,2,0.75,0.287878788,1,1,24.54545455,3,1.9091,0
4,4,5,9,5,0,5,4,3,0.333333333,18,1.0,1,0.921052632,0.4375,0,0,3.25,1,0.75,0
6,1,0,2,11,3,1,1,3,0.6,54,1.0,0,0.0,0.666666667,0,0,7.666666667,1,0.8333,0
2,4,0,5,14,1,0,5,1,2.0,66,0.0,0,0.980392157,1.0,1,2,32.0,4,2.0,0
3,1,0,3,12,3,3,0,3,2.0,90,0.0,0,0.0,0.333333333,1,1,29.0,8,5.0,0
3,1,0,0,4,3,0,0,3,2.0,20,0.0,0,0.0,0.5,0,0,5.666666667,2,1.0,0
32,2,0,4,40,330,2,2,2,0.781056966,2014,0.787234043,1,0.225,0.20625,1,1,60.46875,26,4.0938,0
29,1,0,28,120,396,25,6,25,0.928571429,1348,0.8,0,0.0,0.278571429,0,0,45.31034483,29,2.6207,1
48,4,0,25,108,964,7,20,44,0.946301925,816,0.952380952,4,0.624,0.154166667,3,3,15.5625,7,1.375,0
3,2,0,1,10,0,0,1,1,0.0,67,1.0,1,0.714285714,0.666666667,1,1,20.33333333,1,0.6667,0
40,3,1,17,99,664,2,15,31,0.918192918,855,0.952380952,2,0.486842105,0.194444444,0,0,19.85,8,1.6,1
1,4,0,1,3,0,1,0,1,2.0,6,0.0,0,1.0,1.0,0,0,5.0,0,0.0,0
3,1,0,7,14,3,1,6,1,2.0,88,0.0,0,0.0,0.444444444,0,0,28.33333333,1,0.6667,0
5,1,0,2,7,4,2,0,0,0.5,39,1.0,0,0.0,0.7,0,0,6.2,1,0.6,0
