2024-04-23 20:03:26,308 - Episode: 1/1000, Total Reward: -3.4000000000000004, Accuracy: 0.00
2024-04-23 20:04:51,712 - Episode: 37/1000, Total Reward: -1.6999999999999993, Accuracy: 0.00
2024-04-23 20:04:54,291 - Episode: 38/1000, Total Reward: -6.1, Accuracy: 0.00
2024-04-23 20:04:56,864 - Episode: 39/1000, Total Reward: -4.1, Accuracy: 0.00
2024-04-23 20:04:59,404 - Episode: 40/1000, Total Reward: -2.3, Accuracy: 0.00
2024-04-23 20:05:02,040 - Episode: 41/1000, Total Reward: -5.5, Accuracy: 0.00
2024-04-23 20:05:04,853 - Episode: 42/1000, Total Reward: -2.0999999999999996, Accuracy: 0.00
2024-04-23 20:05:07,473 - Episode: 43/1000, Total Reward: -3.4000000000000004, Accuracy: 0.00
2024-04-23 20:05:10,251 - Episode: 44/1000, Total Reward: -4.7, Accuracy: 0.00
2024-04-23 20:05:13,186 - Episode: 45/1000, Total Reward: -3.4000000000000004, Accuracy: 0.00
2024-04-23 20:05:16,098 - Episode: 46/1000, Total Reward: -5.7, Accuracy: 0.00
2024-04-23 20:05:18,580 - Episode: 47/1000, Total Reward: -4.9, Accuracy: 0.00
2024-04-23 20:05:21,214 - Episode: 48/1000, Total Reward: -5.1, Accuracy: 0.00
2024-04-23 20:05:24,022 - Episode: 49/1000, Total Reward: -5.3, Accuracy: 0.00
2024-04-23 20:05:26,852 - Episode: 50/1000, Total Reward: -4.7, Accuracy: 0.00
2024-04-23 20:05:29,806 - Episode: 51/1000, Total Reward: -7.500000000000001, Accuracy: 0.00
2024-04-23 20:05:32,871 - Episode: 52/1000, Total Reward: -5.7, Accuracy: 0.00
2024-04-23 20:05:35,333 - Episode: 53/1000, Total Reward: -6.1, Accuracy: 0.00
2024-04-23 20:05:38,132 - Episode: 54/1000, Total Reward: -8.3, Accuracy: 0.00
2024-04-23 20:05:41,137 - Episode: 55/1000, Total Reward: -5.4, Accuracy: 0.00
2024-04-23 20:05:44,102 - Episode: 56/1000, Total Reward: -5.5, Accuracy: 0.00
2024-04-23 20:05:47,170 - Episode: 57/1000, Total Reward: -5.7, Accuracy: 0.00
2024-04-23 20:05:50,119 - Episode: 58/1000, Total Reward: -4.9, Accuracy: 0.00
2024-04-23 20:05:53,073 - Episode: 59/1000, Total Reward: -4.3, Accuracy: 0.00
2024-04-23 20:05:56,147 - Episode: 60/1000, Total Reward: -8.100000000000001, Accuracy: 0.00
2024-04-23 20:05:59,240 - Episode: 61/1000, Total Reward: -5.9, Accuracy: 0.00
2024-04-23 20:06:01,947 - Episode: 62/1000, Total Reward: -5.9, Accuracy: 0.00
2024-04-23 20:06:05,089 - Episode: 63/1000, Total Reward: -5.1, Accuracy: 0.00
2024-04-23 20:06:08,094 - Episode: 64/1000, Total Reward: -3.4000000000000004, Accuracy: 0.00
2024-04-23 20:06:11,232 - Episode: 65/1000, Total Reward: -5.3, Accuracy: 0.00
2024-04-23 20:06:14,326 - Episode: 66/1000, Total Reward: -3.6000000000000005, Accuracy: 0.00
2024-04-23 20:06:17,128 - Episode: 67/1000, Total Reward: -3.8000000000000007, Accuracy: 0.00
2024-04-23 20:06:19,927 - Episode: 68/1000, Total Reward: -3.0, Accuracy: 0.00
2024-04-23 20:06:22,704 - Episode: 69/1000, Total Reward: -5.5, Accuracy: 0.00
2024-04-23 20:06:25,667 - Episode: 70/1000, Total Reward: -5.3, Accuracy: 0.00
2024-04-23 20:06:28,789 - Episode: 71/1000, Total Reward: -4.5, Accuracy: 0.00
2024-04-23 20:06:31,734 - Episode: 72/1000, Total Reward: -4.9, Accuracy: 0.00
2024-04-23 20:06:34,783 - Episode: 73/1000, Total Reward: -6.3, Accuracy: 0.00
2024-04-23 20:06:37,855 - Episode: 74/1000, Total Reward: -5.9, Accuracy: 0.00
2024-04-23 20:06:40,789 - Episode: 75/1000, Total Reward: -2.8, Accuracy: 0.00
2024-04-23 20:06:44,144 - Episode: 76/1000, Total Reward: -3.0, Accuracy: 0.00
2024-04-23 20:06:47,423 - Episode: 77/1000, Total Reward: -3.6000000000000005, Accuracy: 0.00
2024-04-23 20:06:50,825 - Episode: 78/1000, Total Reward: -3.6000000000000005, Accuracy: 0.00
2024-04-23 20:06:54,027 - Episode: 79/1000, Total Reward: -4.3, Accuracy: 0.00
2024-04-23 20:06:57,232 - Episode: 80/1000, Total Reward: -1.6999999999999993, Accuracy: 0.00
2024-04-23 20:07:00,391 - Episode: 81/1000, Total Reward: -0.39999999999999947, Accuracy: 0.00
2024-04-23 20:07:03,475 - Episode: 82/1000, Total Reward: -3.2, Accuracy: 0.00
2024-04-23 20:07:06,889 - Episode: 83/1000, Total Reward: -0.39999999999999947, Accuracy: 0.00
2024-04-23 20:07:10,144 - Episode: 84/1000, Total Reward: -3.2, Accuracy: 0.00
2024-04-23 20:07:13,353 - Episode: 85/1000, Total Reward: -5.7, Accuracy: 0.00
2024-04-23 20:07:16,387 - Episode: 86/1000, Total Reward: -5.1, Accuracy: 0.00
2024-04-23 20:07:19,657 - Episode: 87/1000, Total Reward: -7.1000000000000005, Accuracy: 0.00
2024-04-23 20:07:23,066 - Episode: 88/1000, Total Reward: -6.5, Accuracy: 0.00
2024-04-23 20:07:26,554 - Episode: 89/1000, Total Reward: -5.9, Accuracy: 0.00
2024-04-23 20:07:29,789 - Episode: 90/1000, Total Reward: -6.3, Accuracy: 0.00
2024-04-23 20:07:32,947 - Episode: 91/1000, Total Reward: -6.7, Accuracy: 0.00
2024-04-23 20:07:36,049 - Episode: 92/1000, Total Reward: -6.7, Accuracy: 0.00
2024-04-23 20:07:39,345 - Episode: 93/1000, Total Reward: -4.9, Accuracy: 0.00
2024-04-23 20:07:42,761 - Episode: 94/1000, Total Reward: -4.9, Accuracy: 0.00
2024-04-23 20:07:46,141 - Episode: 95/1000, Total Reward: -3.2, Accuracy: 0.00
2024-04-23 20:07:49,453 - Episode: 96/1000, Total Reward: -5.5, Accuracy: 0.00
2024-04-23 20:07:52,881 - Episode: 97/1000, Total Reward: -2.5999999999999996, Accuracy: 0.00
2024-04-23 20:07:56,000 - Episode: 98/1000, Total Reward: -2.5999999999999996, Accuracy: 0.00
2024-04-23 20:07:59,082 - Episode: 99/1000, Total Reward: -4.5, Accuracy: 0.00
2024-04-23 20:08:02,442 - Episode: 100/1000, Total Reward: -2.8, Accuracy: 0.00
2024-04-23 20:08:05,885 - Episode: 101/1000, Total Reward: -5.5, Accuracy: 0.00
2024-04-23 20:08:09,058 - Episode: 102/1000, Total Reward: -2.5999999999999996, Accuracy: 0.00
2024-04-23 20:08:12,337 - Episode: 103/1000, Total Reward: -4.5, Accuracy: 0.00
2024-04-23 20:08:16,037 - Episode: 104/1000, Total Reward: -3.6000000000000005, Accuracy: 0.00
2024-04-23 20:08:19,416 - Episode: 105/1000, Total Reward: -5.9, Accuracy: 0.00
2024-04-23 20:08:23,164 - Episode: 106/1000, Total Reward: -7.900000000000001, Accuracy: 0.00
2024-04-23 20:08:26,788 - Episode: 107/1000, Total Reward: -4.7, Accuracy: 0.00
2024-04-23 20:08:30,187 - Episode: 108/1000, Total Reward: -4.9, Accuracy: 0.00
2024-04-23 20:08:33,556 - Episode: 109/1000, Total Reward: -5.7, Accuracy: 0.00
2024-04-23 20:08:37,132 - Episode: 110/1000, Total Reward: -1.8999999999999995, Accuracy: 0.00
2024-04-23 20:08:41,276 - Episode: 111/1000, Total Reward: -3.2, Accuracy: 0.00
2024-04-23 20:08:45,011 - Episode: 112/1000, Total Reward: -2.8, Accuracy: 0.00
2024-04-23 20:08:48,387 - Episode: 113/1000, Total Reward: -2.8, Accuracy: 0.00
2024-04-23 20:08:52,279 - Episode: 114/1000, Total Reward: -3.2, Accuracy: 0.00
2024-04-23 20:08:55,764 - Episode: 115/1000, Total Reward: -1.6999999999999993, Accuracy: 0.00
2024-04-23 20:08:59,468 - Episode: 116/1000, Total Reward: -2.8, Accuracy: 0.00
2024-04-23 20:09:03,030 - Episode: 117/1000, Total Reward: -4.5, Accuracy: 0.00
2024-04-23 20:09:06,749 - Episode: 118/1000, Total Reward: -3.0, Accuracy: 0.00
2024-04-23 20:09:10,327 - Episode: 119/1000, Total Reward: -4.5, Accuracy: 0.00
2024-04-23 20:09:13,890 - Episode: 120/1000, Total Reward: -3.4000000000000004, Accuracy: 0.00
2024-04-23 20:09:17,516 - Episode: 121/1000, Total Reward: -4.7, Accuracy: 0.00
2024-04-23 20:09:21,268 - Episode: 122/1000, Total Reward: -4.1, Accuracy: 0.00
2024-04-23 20:09:24,753 - Episode: 123/1000, Total Reward: -3.4000000000000004, Accuracy: 0.00
2024-04-23 20:09:28,269 - Episode: 124/1000, Total Reward: -2.5999999999999996, Accuracy: 0.00
2024-04-23 20:09:31,848 - Episode: 125/1000, Total Reward: -8.881784197001252e-16, Accuracy: 0.00
2024-04-23 20:09:35,503 - Episode: 126/1000, Total Reward: -4.5, Accuracy: 0.00
2024-04-23 20:09:39,253 - Episode: 127/1000, Total Reward: -0.20000000000000018, Accuracy: 0.00
2024-04-23 20:09:43,035 - Episode: 128/1000, Total Reward: 0.1999999999999984, Accuracy: 0.00
2024-04-23 20:09:46,786 - Episode: 129/1000, Total Reward: -4.3, Accuracy: 0.00
2024-04-23 20:09:50,505 - Episode: 130/1000, Total Reward: -5.5, Accuracy: 0.00
2024-04-23 20:09:54,319 - Episode: 131/1000, Total Reward: -6.1, Accuracy: 0.00
2024-04-23 20:09:58,148 - Episode: 132/1000, Total Reward: -5.7, Accuracy: 0.00
2024-04-23 20:10:01,742 - Episode: 133/1000, Total Reward: -4.3, Accuracy: 0.00
2024-04-23 20:10:05,164 - Episode: 134/1000, Total Reward: -5.5, Accuracy: 0.00
2024-04-23 20:10:08,729 - Episode: 135/1000, Total Reward: -7.1000000000000005, Accuracy: 0.00
2024-04-23 20:10:12,886 - Episode: 136/1000, Total Reward: -6.5, Accuracy: 0.00
2024-04-23 20:10:16,684 - Episode: 137/1000, Total Reward: -6.5, Accuracy: 0.00
2024-04-23 20:10:20,515 - Episode: 138/1000, Total Reward: -5.5, Accuracy: 0.00
2024-04-23 20:10:24,469 - Episode: 139/1000, Total Reward: -3.2, Accuracy: 0.00
2024-04-23 20:10:28,034 - Episode: 140/1000, Total Reward: -5.7, Accuracy: 0.00
2024-04-23 20:10:31,691 - Episode: 141/1000, Total Reward: -3.2, Accuracy: 0.00
2024-04-23 20:10:35,394 - Episode: 142/1000, Total Reward: -1.4999999999999991, Accuracy: 0.00
2024-04-23 20:10:39,067 - Episode: 143/1000, Total Reward: -4.5, Accuracy: 0.00
2024-04-23 20:10:43,052 - Episode: 144/1000, Total Reward: -5.699999999999999, Accuracy: 0.00
2024-04-23 20:10:46,787 - Episode: 145/1000, Total Reward: -4.7, Accuracy: 0.00
2024-04-23 20:10:51,039 - Episode: 146/1000, Total Reward: -6.5, Accuracy: 0.00
2024-04-23 20:10:55,009 - Episode: 147/1000, Total Reward: -3.2, Accuracy: 0.00
2024-04-23 20:10:58,822 - Episode: 148/1000, Total Reward: -3.4000000000000004, Accuracy: 0.00
2024-04-23 20:11:02,902 - Episode: 149/1000, Total Reward: -3.2, Accuracy: 0.00
2024-04-23 20:11:06,794 - Episode: 150/1000, Total Reward: -1.4999999999999991, Accuracy: 0.00
2024-04-23 20:11:10,467 - Episode: 151/1000, Total Reward: -0.5999999999999988, Accuracy: 0.00
2024-04-23 20:11:14,343 - Episode: 152/1000, Total Reward: -2.5999999999999996, Accuracy: 0.00
2024-04-23 20:11:18,758 - Episode: 153/1000, Total Reward: -3.4000000000000004, Accuracy: 0.00
2024-04-23 20:11:22,720 - Episode: 154/1000, Total Reward: -1.4999999999999991, Accuracy: 0.00
2024-04-23 20:11:26,446 - Episode: 155/1000, Total Reward: -4.3, Accuracy: 0.00
2024-04-23 20:11:30,479 - Episode: 156/1000, Total Reward: -7.300000000000001, Accuracy: 0.00
2024-04-23 20:11:34,480 - Episode: 157/1000, Total Reward: -6.1, Accuracy: 0.00
2024-04-23 20:11:38,402 - Episode: 158/1000, Total Reward: -5.9, Accuracy: 0.00
2024-04-23 20:11:42,295 - Episode: 159/1000, Total Reward: -4.1, Accuracy: 0.00
2024-04-23 20:11:46,219 - Episode: 160/1000, Total Reward: -6.3, Accuracy: 0.00
2024-04-23 20:11:50,110 - Episode: 161/1000, Total Reward: -6.3, Accuracy: 0.00
2024-04-23 20:11:54,143 - Episode: 162/1000, Total Reward: -6.1, Accuracy: 0.00
2024-04-23 20:11:58,191 - Episode: 163/1000, Total Reward: -5.3, Accuracy: 0.00
2024-04-23 20:12:02,081 - Episode: 164/1000, Total Reward: -6.7, Accuracy: 0.00
2024-04-23 20:12:06,098 - Episode: 165/1000, Total Reward: -4.7, Accuracy: 0.00
2024-04-23 20:12:09,901 - Episode: 166/1000, Total Reward: -4.1, Accuracy: 0.00
2024-04-23 20:12:13,871 - Episode: 167/1000, Total Reward: -3.0, Accuracy: 0.00
2024-04-23 20:12:18,217 - Episode: 168/1000, Total Reward: -4.5, Accuracy: 0.00
2024-04-23 20:12:22,439 - Episode: 169/1000, Total Reward: -2.8, Accuracy: 0.00
2024-04-23 20:12:26,801 - Episode: 170/1000, Total Reward: -5.5, Accuracy: 0.00
2024-04-23 20:12:30,707 - Episode: 171/1000, Total Reward: -5.1, Accuracy: 0.00
2024-04-23 20:12:34,646 - Episode: 172/1000, Total Reward: -6.1, Accuracy: 0.00
2024-04-23 20:12:38,631 - Episode: 173/1000, Total Reward: -4.1, Accuracy: 0.00
2024-04-23 20:12:42,882 - Episode: 174/1000, Total Reward: -5.3, Accuracy: 0.00
2024-04-23 20:12:47,462 - Episode: 175/1000, Total Reward: -5.699999999999999, Accuracy: 0.00
2024-04-23 20:12:52,686 - Episode: 176/1000, Total Reward: -0.39999999999999947, Accuracy: 0.00
2024-04-23 20:12:56,952 - Episode: 177/1000, Total Reward: -2.5999999999999996, Accuracy: 0.00
2024-04-23 20:13:01,030 - Episode: 178/1000, Total Reward: -2.8, Accuracy: 0.00
2024-04-23 20:13:05,078 - Episode: 179/1000, Total Reward: -3.2, Accuracy: 0.00
2024-04-23 20:13:09,218 - Episode: 180/1000, Total Reward: 1.2999999999999963, Accuracy: 0.00
2024-04-23 20:13:13,343 - Episode: 181/1000, Total Reward: -0.20000000000000018, Accuracy: 0.00
2024-04-23 20:13:17,468 - Episode: 182/1000, Total Reward: -7.1000000000000005, Accuracy: 0.00
2024-04-23 20:13:21,422 - Episode: 183/1000, Total Reward: -6.1, Accuracy: 0.00
2024-04-23 20:13:25,502 - Episode: 184/1000, Total Reward: -6.9, Accuracy: 0.00
2024-04-23 20:13:29,378 - Episode: 185/1000, Total Reward: -7.500000000000001, Accuracy: 0.00
2024-04-23 20:13:33,487 - Episode: 186/1000, Total Reward: -8.500000000000002, Accuracy: 0.00
2024-04-23 20:13:37,550 - Episode: 187/1000, Total Reward: -7.300000000000001, Accuracy: 0.00
2024-04-23 20:13:41,593 - Episode: 188/1000, Total Reward: -6.9, Accuracy: 0.00
2024-04-23 20:13:46,078 - Episode: 189/1000, Total Reward: -7.500000000000001, Accuracy: 0.00
2024-04-23 20:13:50,203 - Episode: 190/1000, Total Reward: -5.3, Accuracy: 0.00
2024-04-23 20:13:54,532 - Episode: 191/1000, Total Reward: -4.9, Accuracy: 0.00
2024-04-23 20:13:58,719 - Episode: 192/1000, Total Reward: -8.881784197001252e-16, Accuracy: 0.00
2024-04-23 20:14:03,064 - Episode: 193/1000, Total Reward: -2.8, Accuracy: 0.00
2024-04-23 20:14:07,206 - Episode: 194/1000, Total Reward: -3.0, Accuracy: 0.00
2024-04-23 20:14:11,411 - Episode: 195/1000, Total Reward: -8.881784197001252e-16, Accuracy: 0.00
2024-04-23 20:14:15,834 - Episode: 196/1000, Total Reward: -1.299999999999999, Accuracy: 0.00
2024-04-23 20:14:19,743 - Episode: 197/1000, Total Reward: -0.20000000000000018, Accuracy: 0.00
2024-04-23 20:14:24,167 - Episode: 198/1000, Total Reward: -1.0999999999999988, Accuracy: 0.00
2024-04-23 20:14:28,325 - Episode: 199/1000, Total Reward: -1.6999999999999993, Accuracy: 0.00
2024-04-23 20:14:32,389 - Episode: 200/1000, Total Reward: -2.5999999999999996, Accuracy: 0.00
2024-04-23 20:14:36,640 - Episode: 201/1000, Total Reward: -5.9, Accuracy: 0.00
2024-04-23 20:14:41,251 - Episode: 202/1000, Total Reward: -7.700000000000001, Accuracy: 0.00
2024-04-23 20:14:45,643 - Episode: 203/1000, Total Reward: -9.100000000000001, Accuracy: 0.00
2024-04-23 20:14:49,692 - Episode: 204/1000, Total Reward: -7.1000000000000005, Accuracy: 0.00
2024-04-23 20:14:54,225 - Episode: 205/1000, Total Reward: -7.1000000000000005, Accuracy: 0.00
2024-04-23 20:14:58,553 - Episode: 206/1000, Total Reward: -8.900000000000002, Accuracy: 0.00
2024-04-23 20:15:02,928 - Episode: 207/1000, Total Reward: -4.5, Accuracy: 0.00
2024-04-23 20:15:07,320 - Episode: 208/1000, Total Reward: -3.2, Accuracy: 0.00
2024-04-23 20:15:11,853 - Episode: 209/1000, Total Reward: -1.4999999999999991, Accuracy: 0.00
2024-04-23 20:15:16,104 - Episode: 210/1000, Total Reward: 0.3999999999999977, Accuracy: 0.00
2024-04-23 20:15:20,278 - Episode: 211/1000, Total Reward: 1.2999999999999963, Accuracy: 0.00
2024-04-23 20:15:24,499 - Episode: 212/1000, Total Reward: -2.0999999999999996, Accuracy: 0.00
2024-04-23 20:15:29,112 - Episode: 213/1000, Total Reward: -3.2, Accuracy: 0.00
2024-04-23 20:15:33,473 - Episode: 214/1000, Total Reward: -6.5, Accuracy: 0.00
2024-04-23 20:15:37,943 - Episode: 215/1000, Total Reward: -8.3, Accuracy: 0.00
2024-04-23 20:15:42,178 - Episode: 216/1000, Total Reward: -8.100000000000001, Accuracy: 0.00
2024-04-23 20:15:46,772 - Episode: 217/1000, Total Reward: -9.7, Accuracy: 0.00
2024-04-23 20:15:51,320 - Episode: 218/1000, Total Reward: -7.900000000000001, Accuracy: 0.00
2024-04-23 20:15:55,968 - Episode: 219/1000, Total Reward: -7.500000000000001, Accuracy: 0.00
2024-04-23 20:16:00,281 - Episode: 220/1000, Total Reward: -8.3, Accuracy: 0.00
2024-04-23 20:16:04,812 - Episode: 221/1000, Total Reward: -3.4000000000000004, Accuracy: 0.00
2024-04-23 20:16:09,046 - Episode: 222/1000, Total Reward: -3.0, Accuracy: 0.00
2024-04-23 20:16:13,484 - Episode: 223/1000, Total Reward: -1.299999999999999, Accuracy: 0.00
2024-04-23 20:16:18,548 - Episode: 224/1000, Total Reward: -1.8999999999999995, Accuracy: 0.00
2024-04-23 20:16:23,535 - Episode: 225/1000, Total Reward: -1.0999999999999988, Accuracy: 0.00
2024-04-23 20:16:28,597 - Episode: 226/1000, Total Reward: -0.20000000000000018, Accuracy: 0.00
2024-04-23 20:16:33,723 - Episode: 227/1000, Total Reward: -1.4999999999999991, Accuracy: 0.00
2024-04-23 20:16:38,568 - Episode: 228/1000, Total Reward: -5.5, Accuracy: 0.00
2024-04-23 20:16:43,397 - Episode: 229/1000, Total Reward: -7.1000000000000005, Accuracy: 0.00
2024-04-23 20:16:48,602 - Episode: 230/1000, Total Reward: -8.100000000000001, Accuracy: 0.00
2024-04-23 20:16:53,213 - Episode: 231/1000, Total Reward: -8.100000000000001, Accuracy: 0.00
2024-04-23 20:16:58,167 - Episode: 232/1000, Total Reward: -9.100000000000001, Accuracy: 0.00
2024-04-23 20:17:03,044 - Episode: 233/1000, Total Reward: -4.9, Accuracy: 0.00
2024-04-23 20:17:08,046 - Episode: 234/1000, Total Reward: -2.5999999999999996, Accuracy: 0.00
2024-04-23 20:17:12,984 - Episode: 235/1000, Total Reward: -1.6999999999999993, Accuracy: 0.00
2024-04-23 20:17:18,066 - Episode: 236/1000, Total Reward: -1.0999999999999988, Accuracy: 0.00
2024-04-23 20:17:23,100 - Episode: 237/1000, Total Reward: 0.3999999999999977, Accuracy: 0.00
2024-04-23 20:17:27,818 - Episode: 238/1000, Total Reward: -1.299999999999999, Accuracy: 0.00
2024-04-23 20:17:32,834 - Episode: 239/1000, Total Reward: 0.1999999999999984, Accuracy: 0.00
2024-04-23 20:17:37,508 - Episode: 240/1000, Total Reward: -4.5, Accuracy: 0.00
2024-04-23 20:17:42,322 - Episode: 241/1000, Total Reward: -7.1000000000000005, Accuracy: 0.00
2024-04-23 20:17:47,151 - Episode: 242/1000, Total Reward: -9.3, Accuracy: 0.00
2024-04-23 20:17:51,823 - Episode: 243/1000, Total Reward: -8.700000000000003, Accuracy: 0.00
2024-04-23 20:17:57,167 - Episode: 244/1000, Total Reward: -10.299999999999997, Accuracy: 0.00
2024-04-23 20:18:02,089 - Episode: 245/1000, Total Reward: -8.900000000000002, Accuracy: 0.00
2024-04-23 20:18:07,029 - Episode: 246/1000, Total Reward: -8.3, Accuracy: 0.00
2024-04-23 20:18:11,609 - Episode: 247/1000, Total Reward: -1.6999999999999993, Accuracy: 0.00
2024-04-23 20:18:16,718 - Episode: 248/1000, Total Reward: -8.881784197001252e-16, Accuracy: 0.00
2024-04-23 20:18:21,735 - Episode: 249/1000, Total Reward: 0.3999999999999977, Accuracy: 0.00
2024-04-23 20:18:26,846 - Episode: 250/1000, Total Reward: 1.2999999999999963, Accuracy: 0.00
2024-04-23 20:18:31,879 - Episode: 251/1000, Total Reward: 1.2999999999999963, Accuracy: 0.00
2024-04-23 20:18:36,770 - Episode: 252/1000, Total Reward: -0.20000000000000018, Accuracy: 0.00
2024-04-23 20:18:41,289 - Episode: 253/1000, Total Reward: 0.8999999999999977, Accuracy: 0.00
2024-04-23 20:18:46,259 - Episode: 254/1000, Total Reward: 1.6999999999999948, Accuracy: 0.00
2024-04-23 20:18:51,181 - Episode: 255/1000, Total Reward: -0.39999999999999947, Accuracy: 0.00
2024-04-23 20:18:56,574 - Episode: 256/1000, Total Reward: -3.6000000000000005, Accuracy: 0.00
2024-04-23 20:19:01,576 - Episode: 257/1000, Total Reward: -6.5, Accuracy: 0.00
2024-04-23 20:19:06,561 - Episode: 258/1000, Total Reward: -9.5, Accuracy: 0.00
2024-04-23 20:19:11,403 - Episode: 259/1000, Total Reward: -8.3, Accuracy: 0.00
2024-04-23 20:19:16,046 - Episode: 260/1000, Total Reward: -9.100000000000001, Accuracy: 0.00
2024-04-23 20:19:20,579 - Episode: 261/1000, Total Reward: -8.900000000000002, Accuracy: 0.00
2024-04-23 20:19:25,143 - Episode: 262/1000, Total Reward: -8.3, Accuracy: 0.00
2024-04-23 20:19:29,737 - Episode: 263/1000, Total Reward: -7.700000000000001, Accuracy: 0.00
2024-04-23 20:19:34,394 - Episode: 264/1000, Total Reward: -7.900000000000001, Accuracy: 0.00
2024-04-23 20:19:39,005 - Episode: 265/1000, Total Reward: -7.300000000000001, Accuracy: 0.00
2024-04-23 20:19:43,584 - Episode: 266/1000, Total Reward: -4.9, Accuracy: 0.00
2024-04-23 20:19:48,366 - Episode: 267/1000, Total Reward: -4.5, Accuracy: 0.00
2024-04-23 20:19:53,087 - Episode: 268/1000, Total Reward: -3.4000000000000004, Accuracy: 0.00
2024-04-23 20:19:57,821 - Episode: 269/1000, Total Reward: -3.2, Accuracy: 0.00
2024-04-23 20:20:02,949 - Episode: 270/1000, Total Reward: -1.8999999999999995, Accuracy: 0.00
2024-04-23 20:20:07,654 - Episode: 271/1000, Total Reward: -1.0999999999999988, Accuracy: 0.00
2024-04-23 20:20:12,374 - Episode: 272/1000, Total Reward: -2.8, Accuracy: 0.00
2024-04-23 20:20:16,921 - Episode: 273/1000, Total Reward: -5.1, Accuracy: 0.00
2024-04-23 20:20:21,610 - Episode: 274/1000, Total Reward: -8.500000000000002, Accuracy: 0.00
2024-04-23 20:20:26,063 - Episode: 275/1000, Total Reward: -9.100000000000001, Accuracy: 0.00
2024-04-23 20:20:30,923 - Episode: 276/1000, Total Reward: -8.900000000000002, Accuracy: 0.00
2024-04-23 20:20:36,019 - Episode: 277/1000, Total Reward: -8.900000000000002, Accuracy: 0.00
2024-04-23 20:20:40,753 - Episode: 278/1000, Total Reward: -9.7, Accuracy: 0.00
